type	freq
advocate	865
advocated	854
advocates	632
advocating	349
advowson	7
advowsons	6
adze	24
adzes	8
aegis	142
aeolian	27
aeon	22
aeons	63
aerate	19
aerated	32
aerates	3
aerating	11
aeration	78
aerial	683
aerially	3
aerials	76
aerie	2
aerobatic	83
aerobatics	72
aerobic	224
aerobically	31
aerobics	311
aerodrome	132
aerodromes	28
aerodynamic	103
aerodynamically	15
aerodynamics	51
aerodyne	2
aerofoil	21
aerofoils	1
aerogramme	1
aerogrammes	16
aerograms	1
aeronaut	5
aeronautic	2
aeronautical	78
aeronautically	1
aeronautics	78
aeronauts	7
aeroplane	522
aeroplanes	242
aerosol	176
aerosols	123
aerospace	781
aerostat	2
aesthete	20
aesthetes	15
aesthetic	1157
aesthetically	112
aestheticism	22
aesthetics	250
aestival	1
aestivate	2
aestivating	1
aether	15
aetiological	40
aetiologically	1
aetiologies	6
aetiology	120
afar	153
afeard	2
afebrile	2
affability	29
affable	110
affably	37
affair	3210
affaires	44
affairs	7233
affect	4945
affectation	61
affectations	5
affected	5969
affecting	1739
affection	1328
affectionate	318
affectionately	203
affections	197
affective	213
affectively	2
affects	1416
afferent	42
affianced	10
affidavit	284
affidavits	58
affiliate	151
affiliated	302
affiliates	67
affiliating	10
affiliation	266
affiliations	273
affinities	187
affinity	705
affirm	192
affirmation	230
affirmations	31
affirmative	241
affirmatively	24
affirmatives	4
affirmed	313
affirming	117
affirms	83
affix	54
affixation	6
affixed	70
affixes	41
affixing	8
afflatus	4
afflict	54
afflicted	266
afflicting	42
affliction	112
afflictions	28
afflicts	48
affluence	207
affluent	397
affluently	1
afflux	1
afford	4403
affordability	27
affordable	396
afforded	575
affording	85
affords	170
afforestation	94
afforested	33
afforesting	1
affray	114
affrays	8
affront	152
affronted	91
affronting	3
affronts	7
aficionado	23
aficionados	49
afield	350
afire	17
aflame	23
aflatoxin	2
afloat	241
afoot	166
afore	111
aforementioned	118
aforesaid	130
afoul	2
afraid	5552
afresh	199
africanisation	4
africanised	2
africanization	1
africanized	2
afro	375
afrocentric	5
afros	11
aft	180
after	114733
aftermath	687
aftermaths	3
afternoon	8160
afternoons	495
afterward	38
afterwards	4448
again	57536
against	55331
agapanthus	6
agape	52
agar	48
agaric	2
agas	7
agate	32
agates	5
agave	5
agaves	7
age	22418
aged	5415
ageing	1266
ageism	139
ageist	64
ageless	43
agencies	3627
agency	6014
agenda	2347
agendas	153
agent	4328
agents	3731
ager	12
ageratum	2
ageratums	1
agers	15
ages	3600
agger	9
aggers	2
aggiornamento	6
agglomerate	9
agglomerated	2
agglomerates	1
agglomeration	31
agglomerations	17
agglutinate	1
agglutinated	11
agglutinating	2
agglutination	15
agglutinin	5
aggrandise	1
aggrandised	2
aggrandisement	27
aggrandising	2
aggrandize	1
aggrandized	1
aggrandizement	19
aggrandizing	5
aggravate	97
aggravated	393
aggravates	16
aggravating	95
aggravation	136
aggravations	15
aggregate	1530
aggregated	132
aggregates	229
aggregating	40
aggregation	251
aggregations	48
aggression	1315
aggressive	1934
aggressively	286
aggressiveness	76
aggressor	110
aggressors	50
aggrieved	255
aggrievedly	5
aggro	81
agha	10
aghast	152
agile	151
agility	169
aging	95
agist	5
agit	35
agitate	37
agitated	376
agitatedly	32
agitates	7
agitating	42
agitation	465
agitations	33
agitato	4
agitator	35
agitators	54
agitprop	19
aglitter	2
aglow	39
agnate	4
agnates	2
agnatic	2
agnostic	90
agnosticism	31
agnostics	14
ago	19394
agog	25
agon	6
agonies	81
agonise	8
agonised	96
agonises	3
agonising	196
agonisingly	34
agonist	59
agonistic	5
agonists	42
agonize	9
agonized	53
agonizes	1
agonizing	74
agonizingly	26
agony	925
agora	48
agoraphobia	34
agoraphobic	22
agoraphobics	1
agouti	24
agoutis	4
agraphia	4
agrarian	351
agrarianism	3
agree	8057
agreeable	394
agreeably	70
agreed	14390
agreeing	813
agreement	13254
agreements	2704
agrees	938
agri	28
agribusiness	36
agricultural	4117
agriculturalist	15
agriculturalists	25
agriculturally	28
agriculture	3884
agriculturist	7
agriculturists	8
agrimony	11
agro	48
agrochemical	27
agrochemicals	43
agroforestry	21
agronomic	14
agronomical	1
agronomist	10
agronomy	5
aground	75
ague	32
agues	4
ahead	8888
ahimsa	7
ahistorical	22
ahoy	26
aid	9130
aide	316
aided	878
aider	36
aiders	15
aides	209
aiding	167
aids	3415
aiglet	2
aigrette	1
aiguille	13
aiguilles	2
aikido	15
ail	68
ailanthus	1
aileron	46
ailerons	34
ailing	259
ailment	64
ailments	205
ails	15
aim	6402
aimed	3559
aiming	994
aimless	64
aimlessly	109
aimlessness	19
aims	4185
ain	3628
aioli	2
air	20124
airbrush	25
airbrushed	6
airbrushes	7
airbrushing	1
aircraft	6328
aired	172
airedale	40
airedales	2
airhead	17
airheads	6
airier	7
airily	87
airiness	5
airing	201
airings	2
airless	49
airline	1077
